Cornbread Cakes | 8 | 6 | 4 | 25 m | 1 cup self-rising cornmeal; ; ;  | ;  | Home; Recipes; Breakfast and Brunch; Pancakes
Super Easy Breakfast Sausage Loaf | 8 | 5 | 4 | 50 m | cooking spray; 1 pound bulk pork sausage; 1/4 cup brown sugar; 1 tablespoon butter; 4 large eggs; 2 tablespoons milk; salt and ground black pepper to taste; 1 (8 ounce) package refrigerated crescent rolls; 1 cup shredded Colby-Monterey Jack cheese | Preheat oven to 375 degrees F (190 degrees C). Spray a 9x5-inch loaf pan with cooking spray.; Heat a large skillet over medium-high heat and stir in the sausage and brown sugar. Cook and stir until the meat is crumbly, evenly browned, and no longer pink. Drain and discard any excess grease. Transfer sausage to a bowl; wipe the skillet clean.; Melt the butter in the clean skillet over low heat. In a bowl, whisk together the eggs, milk, salt, and black pepper. Pour the eggs into the skillet. Allow the eggs to cook undisturbed until they begin to set, then gently stir the eggs until the curds are separate and set but not dry, 5 to 7 minutes.; Roll out the crescent roll dough, and line the bottom and sides of the prepared pan with 3/4 of the dough. Layer the sausage, scrambled eggs, and Colby-Monterey Jack cheese into the pan, then top with the remaining 1/4 of dough. Pinch the corners and sides of the dough together.; Bake in the preheated oven until golden brown, 25 to 30 minutes. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Sausage
Turkey Sausage and Egg Pie | 9 | 5 | 3.66666674613953 | 1 h | 1 pound spicy turkey sausage, casings removed; 1 small onion, chopped; 1/2 green bell pepper, chopped; 1/2 cup sliced mushrooms; 1 clove garlic, minced; 2 eggs; 1 cup milk; 1/2 cup biscuit baking mix; 1 cup shredded Cheddar cheese | Preheat oven to 400 degrees F (200 degrees C). Grease a 9-inch pie plate.; Place a large skillet over medium heat, and cook and stir the turkey sausage, onion, green bell pepper, mushrooms, and garlic until the turkey is no longer pink, about 8 minutes. Spread the turkey mixture into the prepared pie plate.; Beat the eggs in a bowl with the milk, and stir in the biscuit mix. Pour the mixture over the turkey mixture in the pie dish. Sprinkle with Cheddar cheese.; Bake in the preheated oven until the cheese topping is browned and the pie filling is thickened and bubbling, about 30 minutes. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Sausage
Breakfast Apples | 10 | 6 | 3.66666674613953 | 16 m | 1 apple, cored and chopped; 1/2 cup crispy rice cereal squares (such as Rice Chex®), crushed; 2 teaspoons ground cinnamon; 2 teaspoons coconut oil; 1/2 cup sliced fresh strawberries (optional); 1/4 cup chopped walnuts (optional) | Place the apple, rice cereal, cinnamon, and coconut oil into a microwave-safe bowl.; Cook in a microwave oven until the coconut oil has melted, 30 to 45 seconds. Stir to combine.; Serve topped with berries and walnuts, if desired. | Home; Recipes; Breakfast and Brunch; Cereals
Creole Coffee | 12 | 5 | 4 | 5 m | 1 cup hot brewed coffee with chicory; 1 tablespoon molasses; 1 tablespoon half and half, or more to taste | Pour coffee into a large mug; stir in the molasses and half-and-half cream until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Ham and Asparagus Brunch Bake | 12 | 4 | 3.16666674613953 | 55 m | 3 cups biscuit baking mix (such as Bisquick®); 1 teaspoon dried tarragon; 1 teaspoon dry mustard powder; 1/2 teaspoon ground black pepper; 2 eggs; 1 1/2 cups milk; 2 pounds fresh asparagus, tough ends trimmed; 1 cup cubed fully-cooked Black Forest ham; 1 onion, diced; 1 cup Parmesan cheese, divided | Preheat oven to 375 degrees F (190 degrees C).; Grease a 9x13-inch baking dish.; Combine baking mix, tarragon, dry mustard, and black pepper in a bowl.; Whisk eggs and milk together in a separate bowl; pour the egg mixture into the baking mix and seasonings, and whisk until smooth.; Pour half the batter into the bottom of the prepared baking dish.; Arrange half the asparagus spears over the batter.; Top asparagus spears with ham and onion; sprinkle on 1/2 cup of Parmesan cheese.; Pour the remaining batter over the Parmesan cheese, and arrange the remaining asparagus spears on top. Sprinkle casserole with remaining 1/2 cup Parmesan cheese.; Bake in the preheated oven until the casserole is golden brown and a toothpick inserted into the center comes out clean, 35 to 40 minutes. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Ham
Wholesome Buckwheat Crepes | 8 | 6 | 4.66666650772095 | 4 h 15 m | 2/3 cup raw buckwheat groats; water, to cover; 1 egg; 2 tablespoons brown sugar; 1/4 teaspoon ground cinnamon; 1/4 teaspoon salt; 1/2 cup water, or as needed | Combine buckwheat groats with about 1 1/3 cup water in a bowl; allow to soak, draining and rinsing once or twice during soaking, 4 hours to overnight.; Rinse and drain groats one final time. Transfer drained groats to a blender with egg, brown sugar, cinnamon, salt, and 1/2 cup water; blend into a smooth batter. Blend more water into the mixture as needed to reach a smooth, spreadable texture.; Lightly grease a skillet and place over medium heat.; Pour about 1/3 cup batter into the skillet; lift and tilt the skillet to swirl the batter evenly over the skillet; return to heat.; Cook for about 2 minutes. Gently flip the crepe and cook the other side until the crepe is firm in the middle, about 2 minutes more; flip again and cook about 12 seconds. Plate and serve immediately. | Home; Recipes; Breakfast and Brunch; Crepes; Savory
Buffalo Wing Potato Pancakes | 13 | 5 | 4 | 30 m | 2 frozen, breaded chicken strips; 3 tablespoons hot sauce (such as Frank's RedHot ®); 6 cups leftover mashed potatoes; 3 eggs; 1 (1 ounce) package ranch dressing mix; 2 tablespoons vegetable oil; 1/2 cup shredded Cheddar cheese | Cook the chicken strips according to package directions. Dice the cooked chicken strips and place them in a bowl and toss with the hot pepper sauce.; Stir together the mashed potatoes, eggs, and ranch dressing mix in a large bowl.; Heat oil in a large skillet over medium heat. In batches, drop 1/2 cup of the potato mixture into the skillet. Press to flatten. Sprinkle a heaping tablespoon of the coated chicken strips on the flattened pancake. Cook for about 4 minutes on each side, until the pancakes are golden brown. Garnish with shredded cheese and serve. | Home; Recipes; Breakfast and Brunch; Potatoes
John's Quiche Lorraine | 15 | 5 | 4.5 | 1 h 55 m | 1 frozen single pie crust; 1 tablespoon butter; 1/2 pound slab bacon with rind removed, diced; 1 1/2 cups heavy cream; 3 eggs; salt and freshly ground black pepper to taste; 1 pinch ground nutmeg | Preheat oven to 375 degrees F (190 degrees C). Fit the pie crust into a quiche pan or 9-inch pie dish, and cover the crust with a sheet of aluminum foil. Fill the crust with pie weights or dried beans.; Bake the crust in the preheated oven just until the edges begin to turn golden brown, about 15 minutes. Remove from oven, and take out the pie weights and aluminum foil.; Melt the butter in a large skillet over medium heat, and cook the bacon until browned, stirring frequently, about 7 minutes. Transfer the bacon to paper towels to drain, then sprinkle the bacon into the partially-baked crust. Whisk the cream, eggs, salt, black pepper, and nutmeg together in a bowl, and pour into the crust.; Return to oven, and bake until the filling is set in the middle and the quiche is puffy and golden brown, 30 to 35 minutes. Allow to cool until warm, about 1 hour, to serve. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Bacon
Cheese Crepe Souffle | 6 | 6 | 5 | 1 h 5 m | 1/2 cup butter; 2 (13 ounce) packages frozen cheese-filled blintzes; 6 egg whites; 6 egg yolks; 2 cups sour cream; 1/3 cup white sugar; 1 teaspoon vanilla extract; 1/2 teaspoon salt | Preheat oven to 350 degrees F (175 degrees C).; Place the butter in 9x13 inch baking dish, and put into the oven until melted, about 3 minutes. Place the blintzes into the baking dish in a single layer on top of the melted butter.; Whip the egg whites in a bowl until they form soft peaks, about 5 minutes, and set aside.; Whisk together the egg yolks, sour cream, sugar, vanilla extract, and salt in a large bowl until smooth. Use a rubber spatula or wire whisk to fold 1/3 of the whipped egg whites into the sour cream mixture. Gently run the spatula through the center of the bowl, then around the sides of the bowl, repeating until fully incorporated. Add the remaining whipped egg whites, folding just until incorporated. Pour the mixture over the blintzes in the baking dish.; Bake in the preheated oven until the eggs are set and puffy and the top is golden brown, about 45 minutes. | Home; Recipes; Breakfast and Brunch; Eggs
LynzzPaige's Kaiserschmarrn (Emperor's Pancakes) | 11 | 6 | 3.83333325386047 | 35 m | 1/2 cup all-purpose flour; 5 tablespoons white sugar; 1/2 teaspoon salt; 1 cup milk; 5 eggs, separated; 2 tablespoons butter; confectioners' sugar | Sift flour, sugar, and salt together in a mixing bowl. Pour the milk slowly into the dry mixture while stirring. Add the egg yolks one at a time, beating until well blended before adding the next egg yolk.; Place the egg whites in a separate bowl; beat until egg whites form stiff peaks. Gently stir 1/3 of the egg whites into the batter. Fold in the remaining egg whites.; Melt 1 tablespoon butter in an 8 inch skillet over moderate heat. Pour in half the batter and cook about 4 minutes or until browned on the bottom. Loosen edges and slide pancake onto a plate using spatula. Invert the pancake back into the skillet and cook until both sides are brown, about 2 minutes. Remove to a warm platter and keep warm.; Make the second pancake the same way. Dust with confectioners' sugar and serve. | Home; Recipes; Breakfast and Brunch; Pancakes
Fluffy Vegan Pancakes | 8 | 6 | 3.16666674613953 | 25 m | 1 1/4 cups all-purpose flour; 1 tablespoon baking powder; 1/2 teaspoon fine sea salt; 1/4 cup pureed extra-firm tofu; 1 cup soy milk; 1 tablespoon canola oil; 1/2 cup water | Whisk together the flour, baking powder, and sea salt; set aside.; Whisk together the tofu, soy milk, canola oil, and water. Gradually whisk the flour mixture into the tofu mixture, making sure to beat out all lumps between additions.; Heat a lightly oiled griddle over medium-high heat. Drop batter by large spoonfuls onto the griddle, and cook until lightly browned on the bottom. Flip, and cook until lightly browned on the other side. Repeat with remaining batter. | Home; Recipes; Breakfast and Brunch; Pancakes
