Coconut Cream Pie II | 22 | 9 | 3.92307686805725 | 7 h | 1 1/2 cups vanilla wafer crumbs; 1/3 cup butter, melted; 1 (.25 ounce) package unflavored gelatin; 1/3 cup cold milk; 3 egg yolks; 2/3 cup white sugar; 1 cup hot milk; 1/2 teaspoon almond extract; 3 egg whites; 1 cup heavy cream, whipped; 1 1/2 cups fresh shredded coconut; 1 tablespoon fresh shredded coconut | Preheat oven to 350 degrees F (175 degrees C).; In a medium bowl, mix together wafer crumbs and melted butter. Press mixture firmly into bottom and sides of a 9-inch pie pan. Bake in preheated oven for 7 minutes. Remove and allow to cool.; Dissolve gelatin in cold milk and set aside to soften.; Beat egg yolks and sugar together, then slowly pour in hot milk while whisking constantly. Cook over medium heat, stirring constantly, until mixture coats a spoon. Remove from heat, then stir in gelatin, followed by almond extract. Chill.; Beat egg whites until stiff. Fold egg whites, whipped cream, and coconut into chilled custard. Pour into pie shell, and sprinkle with additional coconut. Chill 6 hours or overnight before serving. | Home; Recipes; Desserts; Pies; No-Bake Pies; Chiffon Pie
S'more Ice Cream Pie | 36 | 11 | 4.46153831481934 | 5 h 50 m | 1 1/2 cups finely crushed graham cracker crumbs; 1/4 cup white sugar; 6 tablespoons butter, melted; 1 (28 ounce) package chocolate ice cream, slightly softened; 2 cups miniature marshmallows, or enough to cover the top | Place graham cracker crumbs into a bowl, add sugar and melted butter, and mix until well combined. Transfer mixture into a 9-inch pie dish. Gently press graham cracker mixture into the bottom and up the sides of the pie dish using a spatula. Pat the edge and inside of the crust smooth with your fingers.; Refrigerate crust until thoroughly chilled, at least 30 minutes.; Fill crust with chocolate ice cream using a small ice cream scoop. Smooth the ice cream with a spatula. Place a ring of mini marshmallows around the inside of the crust and cover top of ice cream with remaining marshmallows. Gently press marshmallows into the ice cream.; Freeze until very firm, at least 2 hours.; Use a propane blow torch to toast the marshmallows, moving the torch quickly to brown the marshmallows. Marshmallows should have small charred spots. Return to freezer to chill the marshmallow topping, at least 3 hours; slice and serve. | Home; Recipes; Desserts; Frozen Desserts; Ice Cream Pie
Avocado Lime Cheesecake | 143 | 35 | 4.61702108383179 | 3 h 35 m | 1 1/2 cups heavy whipping cream; 3/4 cup white sugar; 1 1/2 ripe avocados, peeled and pitted; 2 (3 ounce) packages cream cheese, softened; 1/2 cup fresh lime juice; 1 (8 inch) prepared graham cracker crust | Heat cream in a small saucepan until small bubbles appear around edges. Remove from heat and stir sugar into cream until it dissolves. Transfer to a medium bowl and allow to cool.; Combine avocado and cream cheese in a food processor and blend until smooth. Add lime juice and process until smooth; whisk into the cooled cream mixture.; Fill an ice cream maker with the avocado mixture, and freeze according to the manufacturer's instructions for making ice cream.; Spoon avocado mixture into the prepared pie crust; smooth surface with a spatula. Freeze until solid, at least 2 hours. Let cheesecake sit at room temperature until slightly softened yet firm enough to slice before serving, 10 to 15 minutes. | Home; Recipes; World Cuisine; Latin American; Mexican
Phoenician's Key Lime Pie | 315 | 149 | 4.78888893127441 | 10 h 45 m | 2/3 cup toasted slivered almonds; 1 cup graham cracker crumbs; 1/4 cup white sugar; 1 pinch salt; 1/4 cup butter, melted; 4 egg yolks; 1 (14 ounce) can sweetened condensed milk; 1/2 cup key lime juice; 3/4 cup cold heavy cream; 1/2 teaspoon grated lime zest | Preheat an oven to 350 degrees F (175 degrees C).; Pulse the almonds in a food processor until finely ground. Combine the almonds with the graham cracker crumbs, sugar, and salt. Pour in the melted butter and mix until evenly moistened. Press into a 9-inch pie plate.; Bake the crust in the preheated oven until golden brown, 10 to 13 minutes.; While the crust is baking, beat the egg yolks in a bowl with the condensed milk, cream, and lime zest. Whisk in the lime juice a little at a time to thicken the custard. Pour the custard into the pie crust and return to the oven.; Bake in the oven for 15 minutes to help the custard begin to set. Cool to room temperature on a wire rack before covering loosely with plastic wrap and refrigerating overnight. | Home; Recipes; Desserts; Pies; Custard and Cream Pies; Key Lime Pie
Blueberry Shortbread Bars | 248 | 98 | 4.53718996047974 | 1 h | 1/2 cup cold unsalted butter, cut into small cubes; 1 1/2 cups sifted all-purpose flour; 1/2 cup white sugar; 1/2 teaspoon salt; 1/4 teaspoon baking powder; 1/4 teaspoon Chinese five-spice powder; 1 egg yolk; 1/2 teaspoon ice water, or more if needed; 3/4 cup fresh blueberries | Preheat oven to 375 degrees F (190 degrees C). Place butter cubes in the freezer for 15 minutes.; Whisk together flour, sugar, salt, and baking powder in a large bowl. Sprinkle in Chinese five-spice powder.; Cut in frozen butter using a pastry cutter until the butter pieces are about the size of peas. Mix in egg yolk and continue cutting in until thoroughly combined. Drizzle in ice water and stir to combine. The dough should just come together when pinched between your fingers.; Pour about 3/4 of the crumb mixture into an ungreased 9x9-inch baking dish. Press the mixture down firmly using the back of a spoon. Spread blueberries in one layer and sprinkle with remaining crumbly dough.; Bake in the preheated oven until the top is golden and sides are crisp and browned, 30 to 35 minutes. Cool completely before serving. | Home; Recipes; Desserts; Fruit Desserts; Blueberry Desserts
Peach Pie with Sour Cream | 213 | 73 | 4.55421686172485 | 1 h 35 m | 1 1/4 cups all-purpose flour; 1/2 cup butter, cut into chunks; 1/2 teaspoon salt; 2 tablespoons sour cream; 4 fresh peaches - peeled, pitted, and sliced; 3 egg yolks; 2 tablespoons all-purpose flour; 1/3 cup sour cream; 1 cup white sugar | Preheat oven to 425 degrees F (220 degrees C). Butter a 9-inch pie dish.; Place 1 1/4 cups flour, butter, salt, and 2 tablespoons sour cream in a food processor; pulse until mixture comes together in a large ball. Press dough into prepared pie dish to form a crust.; Bake in preheated hoven until golden brown, about 10 minutes. Remove pie crust from oven.; Reduce oven heat to 350 degrees F (175 degrees C). Arrange peach slices in pie crust.; Lightly beat egg yolks in a large bowl. Add in sugar, 1/3 cup sour cream, and 2 tablespoons flour; stir until well-mixed. Pour egg mixture over peaches. Cover pie with aluminum foil.; Bake in preheated oven for 50 minutes; remove foil. Continue baking until peach filling is set, about 15 minutes more. | Home; Recipes; Desserts; Pies; Fruit Pies; Peach Pie
Raspberry-Lime Sherbet 'Watermelon' | 13 | 6 | 3.85714292526245 | 1 h 20 m | 2 pints lime sherbet, slightly softened; 6 ounces miniature semi-sweet chocolate chips; 1/2 gallon raspberry sherbet, slightly softened | Line a serving bowl with plastic wrap. Spoon lime sherbet into the bowl, smoothing it out to be 1/2 inch thick along the sides, making the watermelon rind. Place bowl in the freezer for 15 minutes.; Meanwhile, stir the chocolate chips evenly into the raspberry sherbet. Scoop the raspberry sherbet into the lime sherbet shell, smoothing off and leveling the top. Return bowl to the freezer.; To serve, invert the bowl onto a serving plate. Lift off bowl and remove plastic wrap. Freeze again for 1 hour if the sherbet is too soft. Slice pieces like a watermelon. | Home; Recipes; Desserts; Frozen Desserts
Orange Meringue Pie | 74 | 37 | 4.5476188659668 | 1 h 50 m | 1 (9 inch) unbaked pie crust; 3/4 cup sugar; 1/3 cup cornstarch; 1 pinch salt; 1 cup orange juice; 1/2 cup lemon juice; 1/4 cup water; 4 eggs, separated; 4 tablespoons butter or margarine, cut into pieces; 2 teaspoons grated orange zest; 1/2 cup diced orange segments; 1/2 cup white sugar; 1/4 teaspoon cream of tartar | Preheat oven to 400 degrees F (205 degrees C). Line pastry with aluminum foil and a layer of pie weights or dried beans. Bake in the preheated oven until edge of crust is golden, about 10 minutes. Carefully remove the foil and weights; bake about 5 minutes more.; In a small saucepan, stir together the 3/4 cup sugar, 1/3 cup cornstarch, and salt. Mix in the orange juice, lemon juice, and water. Whisk in the egg yolks. Cook over medium heat, stirring frequently, until thick and bubbly, about 5 minutes. Remove from heat, and stir in butter and orange zest. If desired; stir in diced orange segments. Pour into prepared pie crust, cover with plastic wrap, and set aside to cool.; When pie filling has cooled to room temperature, preheat oven and prepare meringue. Preheat oven to 350 degrees F (175 degrees C). In a large glass or metal bowl, beat egg whites until foamy. Gradually add 1/2 cup sugar and cream of tartar, continuing to beat until stiff peaks form. Lift your beater or whisk straight up: the egg whites should form a sharp peak that holds its shape. Spread over pie, making sure the meringue completely covers the filling and meets the edges of the pie crust.; Bake in preheated oven until meringue topping is golden brown, about 15 minutes. | Home; Recipes; Desserts; Pies; Custard and Cream Pies; Meringue Pie
Award Winning Soft Chocolate Chip Cookies | 11K | 8248 | 4.65608882904053 | 1 h 40 m | 4 1/2 cups all-purpose flour; 2 teaspoons baking soda; 2 cups butter, softened; 1 1/2 cups packed brown sugar; 1/2 cup white sugar; 2 (3.4 ounce) packages instant vanilla pudding mix; 4 eggs; 2 teaspoons vanilla extract; 4 cups semisweet chocolate chips; 2 cups chopped walnuts (optional) | Preheat oven to 350 degrees F (175 degrees C). Sift together the flour and baking soda, set aside.; In a large bowl, cream together the butter, brown sugar, and white sugar. Beat in the instant pudding mix until blended. Stir in the eggs and vanilla. Blend in the flour mixture. Finally, stir in the chocolate chips and nuts. Drop cookies by rounded spoonfuls onto ungreased cookie sheets.; Bake for 10 to 12 minutes in the preheated oven. Edges should be golden brown. | Home; Recipes; Desserts; Cookies; Drop Cookies
Best Big, Fat, Chewy Chocolate Chip Cookie | 17K | 8470 | 4.62275695800781 | 40 m | 2 cups all-purpose flour; 1/2 teaspoon baking soda; 1/2 teaspoon salt; 3/4 cup unsalted butter, melted; 1 cup packed brown sugar; 1/2 cup white sugar; 1 tablespoon vanilla extract; 1 egg; 1 egg yolk; 2 cups semisweet chocolate chips | Preheat the oven to 325 degrees F (165 degrees C). Grease cookie sheets or line with parchment paper.; Sift together the flour, baking soda and salt; set aside.; In a medium bowl, cream together the melted butter, brown sugar and white sugar until well blended. Beat in the vanilla, egg, and egg yolk until light and creamy. Mix in the sifted ingredients until just blended. Stir in the chocolate chips by hand using a wooden spoon. Drop cookie dough 1/4 cup at a time onto the prepared cookie sheets. Cookies should be about 3 inches apart.; Bake for 15 to 17 minutes in the preheated oven, or until the edges are lightly toasted. Cool on baking sheets for a few minutes before transferring to wire racks to cool completely. | Home; Recipes; Desserts; Cookies; Drop Cookies
Best Brownies | 19K | 8291 | 4.53095674514771 | 1 h | 1/2 cup butter; 1 cup white sugar; 2 eggs; 1 teaspoon vanilla extract; 1/3 cup unsweetened cocoa powder; 1/2 cup all-purpose flour; 1/4 teaspoon salt; 1/4 teaspoon baking powder; 3 tablespoons butter, softened; 3 tablespoons unsweetened cocoa powder; 1 tablespoon honey; 1 teaspoon vanilla extract; 1 cup confectioners' sugar | Preheat oven to 350 degrees F (175 degrees C). Grease and flour an 8-inch square pan.; In a large saucepan, melt 1/2 cup butter. Remove from heat, and stir in sugar, eggs, and 1 teaspoon vanilla. Beat in 1/3 cup cocoa, 1/2 cup flour, salt, and baking powder. Spread batter into prepared pan.; Bake in preheated oven for 25 to 30 minutes. Do not overcook.; To Make Frosting: Combine 3 tablespoons softened butter, 3 tablespoons cocoa, honey, 1 teaspoon vanilla extract, and 1 cup confectioners' sugar. Stir until smooth. Frost brownies while they are still warm. | Home; Recipes; Desserts; Cookies; Brownies; Chocolate Brownies
