Old Fashioned Chocolate Cake | 111 | 87 | 4.53999996185303 | 1 h 15 m | ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;  | ; ; ;  | Home; Recipes; Desserts; Chocolate
Honey's Butter Cake | 103 | 81 | 4.59000015258789 | 1 h 10 m | 2 1/2 cups all-purpose flour; 1 teaspoon baking powder; 1/2 teaspoon baking soda; 1/2 teaspoon salt; 1 cup butter, softened; 2 cups white sugar; 3 eggs; 1 teaspoon vanilla extract; 1 cup sour cream; 2 teaspoons ground cinnamon; 1 cup white sugar | Preheat oven to 325 degrees F (165 degrees C). Grease and flour a 9 inch Bundt pan. Sift together the flour, baking powder, baking soda and salt. Set aside.; In a large bowl, cream together the butter and sugar until light and fluffy. Add the eggs one at a time, beating well with each addition, then stir in the vanilla. Add the flour mixture alternately with the sour cream; beat well. Spread half of the batter into the prepared pan. Mix together the cinnamon and 1 cup of sugar. Sprinkle most of it over the batter in the pan. Spread the rest of the batter into the pan and sprinkle any remaining sugar mixture over the top.; Bake in the preheated oven for 60 to 70 minutes, or until a toothpick inserted into the cake comes out clean. Allow to cool for 10 minutes before inverting onto a wire rack to cool completely. | Home; Recipes; Desserts; Cakes; Yellow Cake
Pineapple Cobbler | 106 | 85 | 4.118812084198 | 45 m | 1/2 cup butter; 1 cup self-rising flour; 1 cup white sugar; 1 cup milk; 1 (15 ounce) can pineapple chunks, drained; 1/2 cup brown sugar; 1 (4 ounce) jar maraschino cherries, halved | Preheat oven to 400 degrees F (200 degrees C). In a 9x13 inch baking dish, melt the butter in the oven.; In a medium bowl, stir together flour, white sugar, and milk until smooth. Pour batter into the prepared dish.; In a separate bowl, toss pineapple with brown sugar until fruit is well coated. Drop pineapple mixture by spoonfuls into the batter. Sprinkle with cherries.; Bake 30 minutes in the preheated oven, until golden. | Home; Recipes; Desserts; Fruit Desserts; Pineapple Desserts
Blueberry Streusel Cobbler | 118 | 88 | 4.73999977111816 | 1 h 25 m | 1 pint fresh or frozen blueberries; 1 (14 ounce) can EAGLE BRAND® Sweetened Condensed Milk; 2 teaspoons grated lemon peel; 3/4 cup cold butter or margarine; 2 cups biscuit baking mix, divided; 1/2 cup firmly packed brown sugar; 2 tablespoons cold butter or margarine; 1/2 cup chopped nuts; 1/2 cup sugar; 1 tablespoon cornstarch; 1/2 teaspoon ground cinnamon; 1/4 teaspoon ground nutmeg; 1/2 cup water; 1 pint blueberries | Preheat oven to 325 degrees F. In bowl, combine blueberries, sweetened condensed milk and lemon peel.; In large bowl, cut 3/4 cup butter into 1 1/2 cups biscuit mix until crumbly; stir in blueberry mixture. Spread in greased 9-inch square baking pan.; In small bowl, combine remaining 1/2 cup biscuit mix and brown sugar; cut in remaining 2 tablespoons butter until crumbly. Add nuts. Sprinkle over cobbler.; Bake 65 to 70 minutes. Serve warm with vanilla ice cream and Blueberry Sauce. Store leftovers covered in refrigerator.; Blueberry Sauce: In saucepan, combine sugar, cornstarch, cinnamon, and nutmeg. Gradually add water. Cook and stir until thickened. Stir in blueberries; cook and stir until hot. | Home; Recipes; Trusted Brands: Recipes and Tips; EAGLE BRAND®
Lemon Souffle Cheesecake with Blueberry Topping | 302 | 78 | 4.67999982833862 | 6 h 20 m | 1 1/4 cups graham cracker crumbs; 2 tablespoons brown sugar, packed; 1 tablespoon butter, melted; 4 (8 ounce) packages cream cheese, softened; 1 cup white sugar; 4 large egg yolks; 1 tablespoon finely grated lemon zest; 1/4 cup fresh lemon juice; 1 teaspoon vanilla extract; 1/2 cup sour cream; 4 large egg whites; 1/3 cup white sugar; 3 cups fresh blueberries or frozen blueberries, thawed; 1/3 cup white sugar; 1 teaspoon fresh lemon juice | Preheat oven to 350 degrees F (175 degrees C). Lightly grease 9 inch springform pan. Cut an 18 inch square of aluminum foil, and wrap around the outside bottom of the pan.; To make the crust, mix the graham cracker crumbs and brown sugar together in a bowl. Stir in the melted butter until thoroughly blended. Press the mixture evenly into the bottom of the prepared pan.; Bake in preheated oven until golden brown, about 8 minutes. Remove pan from oven and cool on a rack.; To make the filling, place the cream cheese in a mixing bowl; beat until creamy, about 2 minutes. Continue beating while gradually adding 1 cup sugar. Beat until sugar is thoroughly blended. Beat in the egg yolks, one at a time, scraping the sides of the bowl after each addition. Mix in the lemon zest, lemon juice, vanilla, and sour cream until well blended.; Beat the egg whites in a clean bowl until soft peaks form. Continue beating while gradually adding 1/3 cup sugar in a slow stream, until stiff peaks form. Do not overbeat. Gently fold 1/3 of the meringue into the cream cheese mixture. Repeat twice more with remaining meringue, mixing carefully to not deflate the egg whites, until no meringue streaks remain. Pour the filling into the prepared pan, and place in a large baking pan. Pour hot (not boiling) water into the baking pan up to 1 inch on the sides of the springform pan.; Bake in preheated oven until the top is almost set, 50-55 minutes. Turn off the heat, prop the oven door open about 2 inches, and allow cake to rest in the oven until completely set, about 1 hour longer. Refrigerate at least 4 hours, or overnight before serving.; To make the topping, place 1 cup blueberries and sugar in a saucepan; cook over medium heat until berries begin to break, 6-8 minutes. While still hot, strain the berries through a sieve or cheesecloth placed over a bowl, reserving the juice. Discard berry pulp. Allow the juice to cool.; Mix remaining 2 cups blueberries and lemon juice together in a large bowl. Stir in the strained blueberry juice. Just before serving, pour the blueberry topping over the cheesecake. | Home; Recipes; Desserts; Fruit Desserts; Lemon Desserts
Boyfriend Brownies | 153 | 80 | 4.46999979019165 | 3 h | 1 1/2 cups all-purpose flour; 1 teaspoon baking soda; 1/2 teaspoon salt; 1 1/2 cups white sugar; 1/4 cup water; 2/3 cup butter; 1 (12 ounce) bag semisweet chocolate chips; 2 teaspoons vanilla extract; 4 eggs; 1 (12 ounce) bag semisweet chocolate chips; 1 cup coarsely chopped walnuts | Preheat an oven to 325 degrees F (165 degrees C). Combine the flour, baking soda, and salt in a small bowl; set aside. Grease and flour a 9x9-inch baking dish.; Combine the sugar, water, and butter in a saucepan. Cook and stir over medium heat until the butter has melted and the sugar has dissolved. Remove from the heat and stir in one bag of chocolate chips and the vanilla extract until the chocolate has melted. Pour the mixture into a mixing bowl, and beat in the eggs one at a time until smooth. Fold in the flour mixture until incorporated, then fold in the remaining bag of chocolate chips along with the walnuts. Pour into prepared pan.; Bake in the preheated oven until the top is dry and the edges have started to pull away from the sides of the pan, 45 to 55 minutes. Cool completely before cutting into squares to serve. | Home; Recipes; Desserts; Cookies; Brownies; Chocolate Brownies
Macaroons | 177 | 86 | 4.49494934082031 | 27 m | 2 egg whites; 1 pinch salt; 1/2 cup white sugar; 2 cups sweetened flaked coconut | Preheat oven to 375 degrees F (190 degrees C). Lightly grease a baking sheet.; Beat together the egg whites with the salt in a small bowl until it forms soft peaks. Add the sugar 1 tablespoon at a time while continuing to beat at high speed until stiff peaks form. Continue to beat until glossy. Fold the coconut into the egg mixture. Drop mixture by the teaspoonful onto the prepared sheet, spacing about 2 inches apart.; Bake in preheated oven for about 12 minutes. | Home; Recipes; Desserts; Cookies; Macaroons
Pineapple Pretzel Salad | 143 | 87 | 4.5151515007019 | 30 m | 2 cups crushed pretzels; 1 cup butter, melted; 1 (8 ounce) package cream cheese; 1 cup white sugar; 1 (8 ounce) container frozen whipped topping, thawed; 2 (20 ounce) cans crushed pineapple; 1/2 (3.4 ounce) package instant vanilla pudding mix | Preheat oven to 350 degrees F (175 degrees C).; Place crushed pretzels in the bottom of a 9x13 inch baking dish. Pour melted butter carefully over top. Bake in preheated oven 10 minutes.; Cream together cream cheese and sugar. Fold in whipped topping. Spread over cooled crust. Combine pineapple and pudding mix. Spread over whipped topping layer. Chill until serving. | Home; Recipes; Desserts; Specialty Desserts; Dessert Salads
Caramel Crispy Treats II | 97 | 87 | 4.37373733520508 | 1 h 30 m | 4 (2.05 ounce) bars milk chocolate covered caramel and nougat candy; 3/4 cup butter or margarine, divided; 3 cups crispy rice cereal; 1 cup milk chocolate chips | In the microwave, or in the top of a double boiler, melt candy bars and 1/2 cup of butter, stirring occasionally until smooth. Stir in cereal until well blended. Press into a greased 11x7 inch pan.; Melt chocolate chips and remaining 1/4 cup butter or margarine, stirring until smooth. Remove from heat, and spread over the top of bars. Refrigerate for 1 hour, or until firm; cut into squares. | Home; Recipes; Desserts; Cookies; No-Bake Cookies
Mexican Chocolate Cake | 120 | 85 | 4.42424249649048 | 45 m | 2 cups all-purpose flour; 1/4 cup unsweetened cocoa powder; 2 cups white sugar; 1 teaspoon baking soda; 1 teaspoon ground cinnamon; 1/2 cup margarine, softened; 1/2 cup vegetable oil; 1 cup water; 1/2 cup sour milk; 2 eggs; 1 teaspoon vanilla extract | Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 12x18 inch pan.; In a large bowl, stir together the flour, cocoa, sugar, baking soda and cinnamon. Add the margarine, oil, water, sour milk, eggs and vanilla, mix until smooth. Spread evenly into the prepared pan.; Bake in the preheated oven for 25 to 30 minutes, or until a toothpick inserted into the cake comes out clean. Allow to cool. | Home; Recipes; World Cuisine; Latin American; Mexican
Chocolate Fudge Pops | 103 | 74 | 4.55000019073486 | 3 h | 1 (3.9 ounce) package instant chocolate pudding mix; 1/2 cup white sugar; 3 cups milk | In a mixing bowl, combine pudding, sugar, and milk. Pour mixture into small plastic cups (if you do not have ice pop molds) and freeze. When set, place a wooden craft sticks into them if you are using plastic cups. Serve when frozen. | Home; Recipes; Desserts; Frozen Desserts; Popsicles
