Chocolate Covered Marshmallows | 96 | 66 | 4.59493684768677 | 45 m | 2 cups semisweet chocolate chips; 10 large marshmallows | Melt the chocolate in a microwave-safe glass or ceramic bowl in 30-second intervals, stirring after each interval. Do not overheat or chocolate will scorch.; Dip the marshmallows in chocolate using a toothpick or fork to hold them. Place on waxed paper or aluminum foil, and freeze. Let marshmallows sit at room temperature for 5 minutes before serving. | Home; Recipes; Desserts; Chocolate
Double Chocolate Frozen Fudge Pops | 173 | 61 | 4.64556980133057 | 4 h 35 m | 1/2 cup white sugar; 2 tablespoons cornstarch; 2 tablespoons cocoa powder; 2 1/2 cups whole milk; 1 teaspoon vanilla extract; 1 tablespoon butter; 1/4 cup miniature semisweet chocolate chips | Combine the sugar, cornstarch, cocoa powder, and milk in a small saucepan over medium heat. Bring to a simmer, and stir until thick, about 2 minutes. Remove from heat; stir in vanilla and butter. Transfer to a heatproof bowl, and refrigerate until cool, approximately 20 minutes.; Stir the chocolate chips into the cooled chocolate mixture. Pour into molds and freeze until firm, about 4 hours. | Home; Recipes; Desserts; Frozen Desserts; Popsicles
Healthier Apple Crisp II | 177 | 54 | 4.69620275497437 | 1 h 15 m | 10 cups unpeeled, cored, and sliced apples; 1/2 cup white sugar; 1 tablespoon white whole wheat flour; 1 teaspoon ground cinnamon; 1/2 cup water; 1 cup quick cooking oats; 1 cup white whole wheat flour; 1/2 cup packed brown sugar; 1/2 cup chopped walnuts; 1/4 teaspoon baking powder; 1/4 teaspoon baking soda; 1/2 cup butter, melted | Preheat oven to 350 degrees F (175 degree C).; Place the sliced apples in a 9x13 inch pan. Mix the white sugar, 1 tablespoon flour and ground cinnamon together, and sprinkle over apples. Pour water evenly over all.; Combine the oats, 1 cup flour, brown sugar, baking powder, baking soda, walnuts and melted butter together. Crumble evenly over the apple mixture.; Bake at 350 degrees F (175 degrees C) for about 45 minutes. | Home; Recipes; Desserts; Fruit Desserts; Apple Desserts
The Best Caramel Apples | 170 | 70 | 4.54430389404297 | 2 h | 8 large tart apples; 8 wooden chopsticks for handles; 1 cup butter; 2 cups packed brown sugar; 1 cup light corn syrup; 1 (14 ounce) can sweetened condensed milk; 2 teaspoons vanilla extract | Bring a large saucepan of water to a boil. Dip apples in boiling water for a few seconds, then dry with paper towels to remove any wax from the peels. Set apples aside; when completely cool, insert a wooden chopstick firmly into the bottom of each apple for a handle.; Line a baking sheet with parchment paper.; Stir butter, brown sugar, corn syrup, and sweetened condensed milk together in a saucepan over medium-high heat. Bring to a boil, stirring constantly, and reduce heat to medium. Cook until a candy thermometer reads 248 degrees F (120 degrees C), 25 to 30 minutes; stir constantly to prevent burning. A teaspoon of the syrup, dropped in a glass of cold water, should form a firm ball. Remove caramel from heat and stir in vanilla extract.; Working quickly, dip each apple into the hot caramel to completely coat the apple and about 1/2 inch of the wooden handle. Sprinkle apples with any desired toppings while still hot. Let caramel apples cool on the parchment paper. Use caution, caramel is very hot. | Home; Recipes; Desserts; Specialty Desserts; Caramel Apples
Blueberry Gingerbread | 79 | 64 | 4.68354415893555 | 50 m | 1/2 cup vegetable oil; 1 cup white sugar; 3 tablespoons molasses; 1 egg; 2 cups all-purpose flour; 1 teaspoon ground cinnamon; 1/2 teaspoon ground nutmeg; 1/2 teaspoon ground ginger; 1 teaspoon baking soda; 1/2 teaspoon salt; 1 cup fresh or frozen blueberries; 1 cup buttermilk; 2 tablespoons sugar | Preheat the oven to 350 degrees F (175 degrees C). Grease and flour an 11x7 inch baking dish.; In a large bowl, mix together the oil, 1 cup sugar and molasses until well blended. Beat in the egg. In a separate bowl, stir together the flour, cinnamon, nutmeg, ginger, baking soda and salt. Remove 2 tablespoons of the flour mixture, and toss with blueberries to coat. Stir the remaining dry mixture into the wet ingredients alternately with the buttermilk, mixing after each addition. Carefully stir in blueberries. Pour the batter into the prepared pan, and sprinkle remaining white sugar over the top.; Bake for 35 to 40 minutes in the preheated oven, until a toothpick inserted into the center comes out clean. | Home; Recipes; Desserts; Fruit Desserts; Blueberry Desserts
Cranberry Gelatin Salad I | 123 | 64 | 4.60759496688843 | 8 h 15 m | 2 (0.3 ounce) packages sugar-free cherry flavored Jell-O® mix; 2 cups boiling water; 1 (16 ounce) can jellied cranberry sauce; 1 (20 ounce) can crushed pineapple, drained; 1/2 cup chopped pecans | Combine the gelatin and boiling water; stir until gelatin is dissolved. Mix in cranberry sauce and pineapple.; Transfer to glass serving dishes. Sprinkle with chopped nuts. Chill until set and serve. | Home; Recipes; Desserts; Specialty Desserts; Dessert Salads; Jell-O® Salad
Watergate Salad | 80 | 59 | 4.78481006622314 | 1 h 10 m | 1 (3.4 ounce) package instant pistachio pudding mix; 1 (20 ounce) can crushed pineapple, drained; 1 1/2 cups miniature marshmallows; 1 (12 ounce) container frozen whipped topping, thawed; 1/2 cup flaked coconut; 1/2 cup maraschino cherries, drained | In a large bowl, combine pudding mix and pineapple; mix well. Add marshmallows and 3/4 of the container of dessert topping (add more to get a creamier consistency). Toss in the coconut; mix well. Transfer to a serving dish and top with halved cherries and any extra coconut. Chill for at least an hour before serving. Will be good the next day. | Home; Recipes; Desserts; Specialty Desserts; Dessert Salads
Cranberry Salad I | 110 | 66 | 4.72499990463257 | 12 h 15 m | 2 (12 ounce) packages fresh cranberries; 1 cup white sugar; 1 (20 ounce) can crushed pineapple, drained; 1 cup chopped pecans; 1 pint heavy whipping cream; 7 ounces miniature marshmallows | Coarsely chop the cranberries in a food processor; put in a large, non-metal bowl and mix in the sugar. Cover and refrigerate for 12 hours.; Whip the cream until stiff. Add the pineapple and nuts to the cranberries, mix well. Fold in whipped cream and marshmallows; refrigerate until ready to serve. | Home; Recipes; Desserts; Specialty Desserts; Dessert Salads
Joey's Bread Pudding | 103 | 66 | 4.56962013244629 | 1 h 15 m | 2 tablespoons butter; 1 (1 pound) loaf sliced white bread, toasted; 12 eggs; 3 tablespoons vanilla extract; 5 cups half-and-half cream; 3 cups white sugar; 1 pinch ground cinnamon; 1 pinch ground nutmeg | Preheat the oven to 350 degrees F (175 degrees C).; Butter each slice of bread on both sides. Tear buttered bread into little pieces, and put into a very large mixing bowl.; Beat eggs with vanilla, and then pour over bread. Stir in half-and-half and sugar. Pour into a 9x13 inch baking dish. Sprinkle the cinnamon and nutmeg over the top.; Bake uncovered in the preheated oven for 55 to 60 minutes. Remove from oven, and cool. Serve hot or cold. | Home; Recipes; Desserts; Specialty Desserts; Bread Pudding
No Bake Cookies IV | 84 | 62 | 4.50632905960083 | 50 m | 1 cup semisweet chocolate chips; 1/3 cup butter; 16 large marshmallows; 1/3 cup creamy peanut butter; 1/2 teaspoon vanilla extract; 1 cup flaked coconut; 2 cups rolled oats | In the top half of a double boiler, melt chocolate chips, butter, and marshmallows over low heat. Stir until smooth, and remove from heat. Stir in the peanut butter, vanilla, coconut, and oats. Mix thoroughly. Drop by rounded spoonfuls onto waxed paper. Refrigerate for about 30 minutes, or until set. | Home; Recipes; Desserts; Cookies; No-Bake Cookies
Plum Buckle | 113 | 67 | 4.60256433486938 | 1 h 15 m | 7 cups pitted and quartered plums; 2/3 cup butter, softened; 1 1/2 cups white sugar; 2 eggs; 3 cups sifted all-purpose flour; 1 tablespoon baking powder; 1/2 teaspoon salt; 2 cups milk; 2 teaspoons vanilla extract; 1 cup white sugar; 1/2 cup butter, softened; 1/4 cup all-purpose flour; 1 teaspoon cinnamon | Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.; Place the plums into the bottom of the prepared baking dish. In a large bowl, mash together 2/3 cup butter with 1 1/2 cup of white sugar until the mixture is smooth and creamy. Beat in eggs, one at a time. Stir in 3 cups of flour, the baking powder, and salt. Mix in the milk and vanilla extract to make a smooth batter. Pour the batter over the plums. Mix 1 cup of sugar, 1/2 cup of butter, 1/4 cup of flour, and cinnamon together in a bowl to make a crumbly topping; spread over the batter.; Bake in the preheated oven until a toothpick inserted in the center of the cake comes out clean, 45 to 50 minutes. | Home; Recipes; Desserts; Fruit Desserts
