Chef John's Stuffed Peppers | 4K | 1193 | 4.79104471206665 | 1 h 50 m | 1 cup uncooked long grain white rice; 2 cups water; 1 onion, diced; 1 tablespoon olive oil; 2 cups marinara sauce; 1 cup beef broth; 1 tablespoon balsamic vinegar; 1/4 teaspoon crushed red pepper flakes; 1 pound lean ground beef; 1/4 pound hot Italian pork sausage, casing removed; 1 (10 ounce) can diced tomatoes; 1/4 cup chopped fresh Italian parsley; 4 cloves garlic, minced; 2 teaspoons salt; 1 teaspoon freshly ground black pepper; 1 pinch ground cayenne pepper; 4 large green bell peppers, halved lengthwise and seeded; 1 cup finely grated Parmigiano-Reggiano cheese, plus more for topping | Preheat the oven to 375 degrees F (190 degrees C).; Bring rice and water to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until the rice is tender, and the liquid has been absorbed, 20 to 25 minutes. Set the cooked rice aside.; Cook onion and olive oil over medium heat until onion begins to soften, about 5 minutes. Transfer half of cooked onion to a large bowl and set aside.; Stir marinara sauce, beef broth, balsamic vinegar, and red pepper flakes into the skillet; cook and stir for 1 minute.; Pour sauce mixture into a 9x13-inch baking dish and set aside.; Combine ground beef, Italian sausage, diced tomatoes, Italian parsley, garlic, salt, black pepper, and cayenne pepper into bowl with reserved onions; mix well. Stir in cooked rice and Parmigiano Reggiano. Stuff green bell peppers with beef and sausage mixture.; Place stuffed green bell pepper halves in the baking dish over tomato sauce; sprinkle with remaining Parmigiano-Reggiano, cover baking dish with aluminum foil, and bake in the preheated oven for 45 minutes.; Remove aluminum foil and bake until the meat is no longer pink, the green peppers are tender and the cheese is browned on top, an addition 20 to 25 minutes. | Home; Recipes; Main Dish; Stuffed Main Dishes; Stuffed Bell Peppers
Asian Beef with Snow Peas | 2K | 865 | 4.30564260482788 | 15 m | 3 tablespoons soy sauce; 2 tablespoons rice wine; 1 tablespoon brown sugar; 1/2 teaspoon cornstarch; 1 tablespoon vegetable oil; 1 tablespoon minced fresh ginger root; 1 tablespoon minced garlic; 1 pound beef round steak, cut into thin strips; 8 ounces snow peas | In a small bowl, combine the soy sauce, rice wine, brown sugar and cornstarch. Set aside.; Heat oil in a wok or skillet over medium high heat. Stir-fry ginger and garlic for 30 seconds. Add the steak and stir-fry for 2 minutes or until evenly browned. Add the snow peas and stir-fry for an additional 3 minutes. Add the soy sauce mixture, bring to a boil, stirring constantly. Lower heat and simmer until the sauce is thick and smooth. Serve immediately. | Home; Recipes; World Cuisine; Asian; Chinese
Pasta Pomodoro | 1K | 787 | 4.4366455078125 | 30 m | 1 (16 ounce) package angel hair pasta; 1/4 cup olive oil; 1/2 onion, chopped; 4 cloves garlic, minced; 2 cups roma (plum) tomatoes, diced; 2 tablespoons balsamic vinegar; 1 (10.75 ounce) can low-sodium chicken broth; crushed red pepper to taste; freshly ground black pepper to taste; 2 tablespoons chopped fresh basil; 1/4 cup grated Parmesan cheese | Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 minutes or until al dente; drain.; Pour olive oil in a large deep skillet over high-heat. Saute onions and garlic until lightly browned. Reduce heat to medium-high and add tomatoes, vinegar and chicken broth; simmer for about 8 minutes.; Stir in red pepper, black pepper, basil and cooked pasta, tossing thoroughly with sauce. Simmer for about 5 more minutes and serve topped with grated cheese. | Home; Recipes; World Cuisine; European; Italian
Fry Bread Tacos II | 620 | 403 | 4.5996241569519 | 47 m | 1 (15.5 ounce) can pinto beans, with liquid; 1/2 cup picante sauce, divided; 1 pound ground beef; 1 (1.25 ounce) package taco seasoning mix; 2 cups all-purpose flour, or more as needed; 1 tablespoon baking powder; 1 teaspoon salt; 1 cup milk; oil for frying; 2 cups shredded iceberg lettuce; 1 cup shredded Cheddar cheese | Combine beans and 2 tablespoons of picante sauce in a small saucepan over low heat. Cook until heated through, about 5 minutes.; Combine ground beef and taco seasoning mix in a large skillet over medium-high heat; cook until browned, 5 to 8 minutes. Cover, and keep warm while you prepare the fry bread.; In a medium bowl, stir together the flour, baking powder, and salt. Stir in milk and mix until the dough comes together. Add more flour if necessary to be able to handle the dough.; On a floured surface, knead the dough until smooth, at least 5 minutes. Let the dough rest for 5 minutes. Break off 3/4 cup sized pieces of dough, and shape into round discs 1/4 inch in thickness, making a thinner depressed area in the center.; Heat 1 1/2 inches oil in a large, deep heavy skillet to 365 degrees F (180 degrees C). Fry dough in the hot oil until golden on both sides, about 3 minutes per side. Drain on paper towels.; Top fry bread with beans, ground beef, lettuce, and Cheddar cheese. Spoon picante sauce on top. | Home; Recipes; Everyday Cooking
Pork Marsala | 2K | 493 | 4.56220483779907 | 30 m | 1/3 cup all-purpose flour; 1/4 teaspoon salt; 1/4 teaspoon garlic salt; 3/4 teaspoon garlic powder; 1/2 teaspoon dried oregano; 1 pound boneless pork loin chops, pounded thin; 3 tablespoons butter; 1/4 cup olive oil; 2 cups sliced fresh mushrooms; 1 teaspoon minced garlic; 1 cup Marsala wine | Mix flour, salt ,garlic salt, garlic powder, and oregano together in a medium bowl. Add pork chops, and toss until well coated.; Heat butter and olive oil in a large skillet over medium heat. Place pork in skillet in a single layer, and cook, turning occasionally, until brown on both sides. Add mushrooms and minced garlic; cook and stir briefly.; Stir in wine, scraping the skillet to loosen any brown bits. Cover and simmer over medium heat until pork is tender and sauce is thickened, about 15 minutes. If sauce is too thick, adjust by stirring in a small amount of wine. | Home; Recipes; Main Dish; Pork; Pork Chops; Boneless
Grilled Chicken with Rosemary and Bacon | 447 | 204 | 4.56081104278564 | 26 m | 4 teaspoons garlic powder; 4 skinless, boneless chicken breast halves; salt and pepper to taste; 4 sprigs fresh rosemary; 4 thick slices bacon | Preheat an outdoor grill for medium-high heat, and lightly oil the grate.; Sprinkle 1 teaspoon garlic powder on a chicken breast and season with salt and pepper. Lay one rosemary sprig on the chicken breast. Wrap the bacon around the chicken to hold the rosemary on. Secure the bacon with a toothpick or an additional thick rosemary stem.; Cook the chicken breasts until no longer pink in the center and the juices run clear, 8 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Stay near the grill to combat any flare ups from the bacon. Remove the toothpicks before serving. | Home; Recipes; Meat and Poultry; Chicken; Chicken Breasts
Beefy Baked Ravioli | 1K | 623 | 4.4946494102478 | 50 m | 1 pound ground beef; ; ; ; ; ;  | ; ; ;  | Home; Recipes; World Cuisine; European; Italian
Fresh Tomato Shrimp Pasta | 338 | 183 | 4.44855976104736 | 30 m | 8 ounces dry fettuccine pasta; 3 cloves garlic; 1/2 sweet onion, cut into wedges; 3 tablespoons fresh oregano leaves; 4 tablespoons olive oil; 4 medium tomatoes, chopped; 3 tablespoons chopped fresh basil; salt and pepper to taste; 1 cup spinach leaves; 1 pound cooked shrimp - peeled and deveined; 8 ounces fresh mozzarella cheese, diced | Bring a large pot of lightly salted water to a boil. Add the pasta, and cook for 8 minutes, or until tender. Drain.; In the container of a food processor, combine the garlic, onion and oregano. Pulse until finely chopped. Heat the olive oil in a large skillet over medium heat. Add the onion mixture; cook and stir until fragrant and almost golden. Mix in the tomatoes, basil, salt and pepper. Simmer for about 5 minutes while the pasta is cooking, stirring occasionally.; Mix in spinach until it wilts, then just before the pasta is done, stir in the shrimp. Cook until heated through. Toss with pasta in a large serving bowl, and mix in mozzarella cheese. | Home; Recipes; World Cuisine; European; Italian
Lemon Rosemary Salmon | 497 | 261 | 4.42159366607666 | 30 m | 1 lemon, thinly sliced; 4 sprigs fresh rosemary; 2 salmon fillets, bones and skin removed; coarse salt to taste; 1 tablespoon olive oil, or as needed | Preheat oven to 400 degrees F (200 degrees C).; Arrange half the lemon slices in a single layer in a baking dish. Layer with 2 sprigs rosemary, and top with salmon fillets. Sprinkle salmon with salt, layer with remaining rosemary sprigs, and top with remaining lemon slices. Drizzle with olive oil.; Bake 20 minutes in the preheated oven, or until fish is easily flaked with a fork. | Home; Recipes; Seafood; Fish; Salmon
World's Best Lasagna | 27K | 11353 | 4.78862380981445 | 3 h 15 m | 1 pound sweet Italian sausage; 3/4 pound lean ground beef; 1/2 cup minced onion; 2 cloves garlic, crushed; 1 (28 ounce) can crushed tomatoes; 2 (6 ounce) cans tomato paste; 2 (6.5 ounce) cans canned tomato sauce; 1/2 cup water; 2 tablespoons white sugar; 1 1/2 teaspoons dried basil leaves; 1/2 teaspoon fennel seeds; 1 teaspoon Italian seasoning; 1 tablespoon salt; 1/4 teaspoon ground black pepper; 4 tablespoons chopped fresh parsley; 12 lasagna noodles; 16 ounces ricotta cheese; 1 egg; 1/2 teaspoon salt; 3/4 pound mozzarella cheese, sliced; 3/4 cup grated Parmesan cheese | In a Dutch oven, cook sausage, ground beef, onion, and garlic over medium heat until well browned. Stir in crushed tomatoes, tomato paste, tomato sauce, and water. Season with sugar, basil, fennel seeds, Italian seasoning, 1 tablespoon salt, pepper, and 2 tablespoons parsley. Simmer, covered, for about 1 1/2 hours, stirring occasionally.; Bring a large pot of lightly salted water to a boil. Cook lasagna noodles in boiling water for 8 to 10 minutes. Drain noodles, and rinse with cold water. In a mixing bowl, combine ricotta cheese with egg, remaining parsley, and 1/2 teaspoon salt.; Preheat oven to 375 degrees F (190 degrees C).; To assemble, spread 1 1/2 cups of meat sauce in the bottom of a 9x13 inch baking dish. Arrange 6 noodles lengthwise over meat sauce. Spread with one half of the ricotta cheese mixture. Top with a third of mozzarella cheese slices. Spoon 1 1/2 cups meat sauce over mozzarella, and sprinkle with 1/4 cup Parmesan cheese. Repeat layers, and top with remaining mozzarella and Parmesan cheese. Cover with foil: to prevent sticking, either spray foil with cooking spray, or make sure the foil does not touch the cheese.; Bake in preheated oven for 25 minutes. Remove foil, and bake an additional 25 minutes. Cool for 15 minutes before serving. | Home; Recipes; World Cuisine; European; Italian
Broiled Tilapia Parmesan | 9K | 7047 | 4.70760345458984 | 15 m | 1/2 cup Parmesan cheese; 1/4 cup butter, softened; 3 tablespoons mayonnaise; 2 tablespoons fresh lemon juice; 1/4 teaspoon dried basil; 1/4 teaspoon ground black pepper; 1/8 teaspoon onion powder; 1/8 teaspoon celery salt; 2 pounds tilapia fillets | Preheat your oven's broiler. Grease a broiling pan or line pan with aluminum foil.; In a small bowl, mix together the Parmesan cheese, butter, mayonnaise and lemon juice. Season with dried basil, pepper, onion powder and celery salt. Mix well and set aside.; Arrange fillets in a single layer on the prepared pan. Broil a few inches from the heat for 2 to 3 minutes. Flip the fillets over and broil for a couple more minutes. Remove the fillets from the oven and cover them with the Parmesan cheese mixture on the top side. Broil for 2 more minutes or until the topping is browned and fish flakes easily with a fork. Be careful not to over cook the fish. | Home; Recipes; Seafood; Fish; Tilapia
