Vegan Bean Taco Filling | 450 | 273 | 4.554123878479 | 30 m | 1 tablespoon olive oil; ; ; ; ; ; ; ; ; ;  |  | Home; Recipes; World Cuisine; Latin American; Mexican
The World's Best Turkey | 437 | 342 | 4.65552711486816 | 4 h 10 m | 1 (12 pound) whole turkey, neck and giblets removed; 1/2 cup butter, cubed; 2 apples, cored and halved; 1 tablespoon garlic powder; salt and pepper to taste; 2/3 (750 milliliter) bottle Champagne | Preheat oven to 350 degrees F (175 degrees C).; Rinse turkey, and pat dry. Gently loosen turkey breast skin, and insert pieces of butter between the skin and breast. Place apples inside the turkey's cavity. Sprinkle with garlic powder, salt, and pepper. Place turkey in a roasting bag, and pour Champagne over the inside and outside of the bird. Close bag, and place turkey in a roasting pan.; Bake turkey 3 to 3 1/2 hours in the preheated oven, or until the internal temperature is 180 degrees F (85 degrees C) when measured in the meatiest part of the thigh. Remove turkey from bag, and let stand for at least 20 minutes before carving. | Home; Recipes; Everyday Cooking
Sweet and Sour Meatloaf | 359 | 309 | 4.56185579299927 | 1 h 10 m | 1 1/2 pounds ground beef; 1 cup dry bread crumbs; 1 teaspoon salt; 1/4 teaspoon ground black pepper; 2 eggs; 1 teaspoon dried minced onion; 1 (15 ounce) can tomato sauce; 2 tablespoons brown sugar; 2 tablespoons cider vinegar; 1/2 cup white sugar; 2 teaspoons prepared mustard | Preheat oven to 350 degrees F (175 degrees C).; In a large bowl, combine the ground beef, bread crumbs, salt, ground black pepper, eggs, onion flakes and 1/2 of the can of tomato sauce. Mix together well and place into a 5x9 inch loaf pan.; Push the meatloaf down into the pan forming a well for the sauce around all the edges.; Bake at 350 degrees F (175 degrees C) for 40 minutes.; Meanwhile, in a small saucepan over medium heat, combine the remaining tomato sauce, brown sugar, vinegar, white sugar and mustard. Bring to a boil and remove from heat.; After meatloaf has cooked for 40 minutes, remove from oven and pour sauce over the top of the meatloaf.; Return to oven and bake at 350 degrees F (175 degrees C) for 20 more minutes. Let sit 5 minutes before removing from pan. | Home; Recipes; Main Dish; Meatloaf; Beef Meatloaf
Grilled Salmon II | 341 | 284 | 4.68393802642822 | 6 h 30 m | 4 (4 ounce) fillets salmon; 1/4 cup peanut oil; 2 tablespoons soy sauce; 2 tablespoons balsamic vinegar; 2 tablespoons thinly sliced green onion; 1 1/2 teaspoons brown sugar; 1 clove garlic, minced; 3/4 teaspoon ground ginger; 1/2 teaspoon crushed red pepper flakes; 1/2 teaspoon sesame oil; 1/8 teaspoon salt | Whisk together peanut oil, soy sauce, balsamic vinegar, green onions, garlic, brown sugar, ginger, red chile flakes, sesame oil, and salt. Place fish in a glass dish, and pour marinade over all. Cover with plastic wrap, and refrigerate for 4 to 6 hours.; Preheat barbecue or gas grill.; Oil the grill rack, and adjust height to 5 inches from coals. Remove salmon from marinade, and place on grill. Grill for 10 minutes per inch of thickness, measured at thickest part, or until fish just flakes when tested with a fork. Turn halfway through cooking. | Home; Recipes; Seafood; Fish; Salmon
Easy Chicken Satay | 514 | 304 | 4.65454530715942 | 2 h 45 m | 1/2 cup coconut milk; 1 clove garlic, minced; 1 teaspoon curry powder; 1 1/2 teaspoons brown sugar; 1/2 teaspoon salt; 1/2 teaspoon ground black pepper; 3/4 pound skinless, boneless chicken breast halves - cut into 1 inch strips; 1 cup coconut milk; 1 tablespoon curry powder; 1/2 cup creamy peanut butter; 3/4 cup chicken stock; 1/4 cup brown sugar; 2 tablespoons lime or lemon juice; 1 teaspoon soy sauce; Salt to taste; 10 (6 inch) wooden skewers, or as needed, soaked in water for 30 minutes | Stir together 1/2 cup coconut milk, garlic, 1 teaspoon curry powder, brown sugar, salt, and pepper until the sugar has dissolved. Toss marinade with the chicken, cover, and marinate for at least 2 hours.; Bring 1 cup coconut milk, 1 tablespoon curry powder, peanut butter, chicken stock, and 1/4 cup brown sugar to a simmer in a saucepan over medium-high heat. Simmer for 5 minutes, stirring constantly, until smooth and thickened. Remove from heat and stir in lime juice and soy sauce; season to taste with salt.; Preheat a grill for medium-high heat.; Thread marinated chicken onto skewers, then grill 4 to 5 minutes per side, or until cooked through. Serve with warm peanut sauce. | Home; Recipes; World Cuisine; Asian
Linguine Pasta with Shrimp and Tomatoes | 564 | 297 | 4.625 | 55 m | 2 tablespoons olive oil; 3 cloves garlic, minced; 4 cups diced tomatoes; 1 cup dry white wine; 2 tablespoons butter; salt and black pepper to taste; 1 (16 ounce) package linguine pasta; 1 pound peeled and deveined medium shrimp; 1 teaspoon Cajun seasoning; 2 tablespoons olive oil | Heat 2 tablespoons of olive oil in a large saucepan over medium heat. Stir in the garlic; cook 2 minutes. Add the tomatoes, and wine. Bring to a simmer and cook 30 minutes, stirring frequently. Once the tomatoes have simmered into a sauce, stir in the butter and season with salt and pepper.; Fill a large pot with lightly-salted water; bring to a rolling boil; stir in the linguine and return to a boil. Cook the pasta uncovered, stirring occasionally, until the pasta has cooked through but is still firm to the bite, about 11 minutes. Drain well in a colander set in the sink.; Season the shrimp with the Cajun seasoning, salt, and pepper. Heat the remaining 2 tablespoons of olive oil in a large skillet over medium-high heat. Stir in the shrimp and cook until pink on the outside and no longer translucent in the center, about 5 minutes. Stir the shrimp into the pasta sauce, then stir the sauce into the linguine to serve. | Home; Recipes; Seafood; Shellfish; Shrimp
Bolognese Stuffed Bell Peppers | 530 | 260 | 4.63779544830322 | 1 h 50 m | 1/2 cup cooked rice; 2 tablespoons olive oil, divided; 1/8 cup minced carrots; 1/8 cup celery; 6 bell peppers (any color) stems and seeds removed, cut in half lengthwise; 1/2 pound ground beef; 1/4 pound pancetta or lightly smoked bacon, diced; 1 1/2 cups prepared marinara sauce; 1/4 cup red wine; 1/2 teaspoon red pepper flakes; 1/3 cup heavy cream; 1/2 cup grated Parmesan cheese, divided | Preheat oven to 375 degrees F (190 degrees C).; Heat 1 tablespoon olive oil in a skillet over medium heat. Stir in the carrots and celery; cook and stir until the vegetables are tender, about 5 minutes.; Stir in ground beef and pancetta, and cook until browned and crumbled; drain off any excess liquid, and return to heat. Add marinara sauce, wine, and red pepper flakes, and simmer for 10 minutes. Stir in cream, half of the Parmesan cheese, and rice. Simmer 5 minutes more, or until most liquid has absorbed.; Place peppers in a shallow baking dish, and fill with beef mixture. Drizzle with remaining olive oil and top with remaining Parmesan cheese.; Bake, uncovered, for 30 minutes in the preheated oven. Serve hot. | Home; Recipes; World Cuisine; European; Italian
Grilled Pork Tenderloin | 413 | 273 | 4.66310167312622 | 55 m | 2 (1 pound) pork tenderloins; 1 teaspoon garlic powder; 1 teaspoon salt; 1 teaspoon ground black pepper; 1 cup barbeque sauce | Prepare grill for indirect heat.; Season meat with garlic powder, salt, and pepper.; Lightly oil grate. Place tenderloin on grate, and position drip pan under meat. Cook over indirect heat for 30 minutes.; Brush tenderloin with barbeque sauce. Continue cooking for 15 minutes, or until an instant-read thermometer inserted into the center reads 145 degrees F (63 degrees C). Allow pork to rest for 10 minutes. Slice pork, and serve with additional barbeque sauce for dipping. | Home; Recipes; Main Dish; Roasts
Lasagna Roll Ups | 893 | 283 | 4.58333349227905 | 1 h | 1 (16 ounce) package uncooked lasagna noodles; 1 pound mozzarella cheese, shredded; 1 (15 ounce) container ricotta cheese; 1 pound firm tofu; 1 (10 ounce) package frozen chopped spinach - thawed, drained and squeezed dry; 2 cups grated Parmesan cheese; 1 (28 ounce) jar pasta sauce | Bring a large pot of lightly salted water to a boil. Cook lasagna noodles for 5 to 8 minutes, or until just slightly underdone; drain and rinse.; In a large mixing bowl, mix together grated cheese, ricotta cheese, tofu, frozen spinach, and 1 cup Parmesan cheese.; Lay out a noodle. Spread a layer of the cheese mixture on the noodle, then add a thin layer of sauce. Roll the noodle up, and place seam side down in a 13x9 pan. Repeat for other noodles. Top with remaining sauce and Parmesan cheese.; Bake in a preheated 350 degree F (175 degree C) oven for 30 min, or until hot and bubbly. | Home; Recipes; World Cuisine; European; Italian
Crab Stuffed Flounder | 435 | 307 | 4.5027027130127 | 31 m | 1 1/2 pounds flounder fillets; 1 cup crabmeat - drained, flaked and cartilage removed; 1 tablespoon finely chopped green bell pepper; 1/4 teaspoon ground dry mustard; 1/4 teaspoon Worcestershire sauce; 1/4 teaspoon salt; ground white pepper, to taste; 3 crushed saltine crackers; 1 egg white; 1 tablespoon mayonnaise; 1/4 cup butter, melted; 1 egg yolk; 5 tablespoons mayonnaise; 1/2 teaspoon paprika; 1 tablespoon dried parsley | Preheat oven to 400 degrees F (200 degrees C). Rinse the fillets and pat dry with paper towels.; Combine crab meat, green pepper, mustard powder, Worcestershire sauce, salt, white pepper and the crushed saltines. Combine the egg white and 1 tablespoon mayonnaise. Stir this into the crab meat mixture.; Brush the flounder fillets with melted butter. Place in a lightly greased, shallow baking dish. Spoon the crab mixture over the fillets and drizzle with any remaining butter.; Bake the fillets at 400 degrees for 15 minutes.; While the fish is baking, lightly beat the egg yolk in a small bowl. Stir in 5 tablespoons of mayonnaise. Remove fish from oven and spread this mixture over the stuffing; sprinkle with paprika and parsley.; Increase oven temperature to 450 degrees and bake until golden and bubbly, about 6 minutes. | Home; Recipes; Seafood; Fish
Penne a la Vodka II | 449 | 285 | 4.53116512298584 | 45 m | 2 tablespoons olive oil; 2 cloves garlic, minced; 1 (28 ounce) can whole peeled tomatoes; 1/2 cup chopped fresh basil; salt and pepper to taste; 1/4 cup vodka; 1 pound penne pasta; 1 pint heavy cream | In a large skillet over medium heat, cook garlic in olive oil until tender, 1 to 2 minutes. Stir in tomatoes, breaking up a bit with fork. Stir in basil, salt and pepper and simmer 15 minutes. Stir in vodka and cook 15 minutes more.; Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.; Stir cream into sauce and cook 10 minutes more. Toss with hot pasta. | Home; Recipes; Pasta and Noodles; Pasta by Shape
