Classic Cuban Midnight (Medianoche) Sandwich | 230 | 130 | 4.68553447723389 | 23 m | 4 sweet bread rolls; ; ; ; ; ; ;  | ;  | Home; Recipes; World Cuisine; Latin American; Caribbean
Chicken Pot Pie II | 172 | 119 | 4.50632905960083 | 1 h 30 m | 3 bone-in chicken breast halves, skinless; 1 (14.5 ounce) can chicken broth; 3 potatoes; 1 yellow onion; 3 stalks celery; 2 tablespoons vegetable oil; 2 tablespoons all-purpose flour; 2 cups frozen mixed vegetables; 1 to taste salt and pepper to taste; 1/4 teaspoon garlic powder; 1 (9 inch) frozen prepared pie crust, thawed | Wash chicken breasts in water and then place in a pot with water just to cover the chicken add some salt and pepper and garlic powder. Bring to a boil, turn off heat and cover. Let cool in the pot.; Preheat oven to 350 degrees F (175 degrees C).; Wash and cut potatoes into bite size pieces and boil till almost fork tender. Drain and set aside.; Wash celery and cut to bite-size pieces. Cut onion to bite-size pieces.; In a large heavy skillet, over medium heat, saute celery and onion with 2 tablespoons oil, for 5 to 8 minutes. Add the frozen vegetables and cook another 5 minutes. Add flour and cook about 30 seconds.; Add chicken broth and bring to a boil. After it has become thick, add potatoes.; Remove chicken from pot and cut into bite-size pieces and add to vegetable mixture. Add salt and pepper to taste.; Pour mixture into a 9 inch deep dish pie plate and cover with pie shell. Make sure you crimp the edges of the pie shell to the plate so no juices spill in oven.; Bake at 350 degrees F (175 degrees C) for 45 minutes or until pie shell is cooked and golden brown. | Home; Recipes; Meat and Poultry; Chicken; Chicken Breasts
Baked Pasta with Sausage and Baby Portobello Mushroom White Sauce | 513 | 134 | 4.64556980133057 | 35 m | 1 pound penne pasta; 3 tablespoons extra-virgin olive oil, divided; 1 pound bulk Italian sausage; 1 pound cremini mushrooms, sliced; 3 cloves garlic, minced; 1 1/2 cups heavy cream; 1/4 teaspoon salt, or to taste; 1/4 teaspoon cracked black pepper; 1/2 cup grated Parmesan cheese; 1 (8 ounce) package shredded whole milk mozzarella | Preheat the oven's broiler and set the oven rack about 6 inches from the heat source.; Bring a large pot of lightly-salted water to a boil; cook the penne uncovered, stirring occasionally, until tender yet firm to the bite, about 11 minutes. Drain and return to the pot.; Meanwhile, heat 1 tablespoon of the olive oil in a large skillet over medium-high heat. Cook and stir the sausage in the hot oil until crumbly and no longer pink, about 7 minutes: remove from the skillet, leaving the fat in the pan, and set aside. Pour the remaining 2 tablespoons of olive oil into the skillet and add the mushrooms and garlic. Cook and stir until the mushrooms have browned and begun to release their liquid, about 5 minutes more. Return the sausage to the skillet and pour in the heavy cream. Season with salt and pepper and return to a simmer, cooking until the sauce begins to thicken, about 5 minutes more. Pour the sauce over the pasta and stir. Stir in 1/2 cup mozzarella and Parmesan. Pour into a 9x13-inch baking dish and sprinkle with remaining 1/2 cup mozzarella cheese.; Broil in the preheated oven until the mozzarella cheese is bubbly and golden brown, 5 to 7 minutes. | Home; Recipes; World Cuisine; European; Italian
Spicy Shrimp Creole | 172 | 130 | 4.56687879562378 | 1 h | 3 tablespoons vegetable oil; 2 cups julienne celery; 2 onions, chopped; 4 cloves crushed garlic; 1 teaspoon white sugar; 2 tablespoons all-purpose flour; 1 teaspoon salt; 1 teaspoon ground black pepper; 1/2 teaspoon cayenne pepper; 2 (14.5 ounce) cans crushed tomatoes; 1 (15 ounce) can tomato sauce; 1 bay leaf, crushed; 1 tablespoon hot pepper sauce; 2 pounds medium shrimp - peeled and deveined | Heat oil in a Dutch oven on medium heat. Saute celery, onions, and garlic in the Dutch oven until the onions are pearly white and the celery has begun to soften.; Mix sugar, flour, salt, pepper and cayenne pepper into the Dutch oven. Add crushed tomatoes and tomato sauce, both pieces of bay leaf, and hot sauce. Bring the mixture to a boil, then turn the heat to low.; Let the mixture simmer for 30 minutes, stirring occasionally.; Approximately 15 minutes before serving, add shrimp to the pot and stir well. If necessary, raise the temperature to medium-low to ensure the Creole is bubbling but not burning. Scoop out the bay leaf halves before serving. Serve when the shrimp is pink and thoroughly cooked. | Home; Recipes; Seafood; Shellfish; Shrimp
Old Time Chicken Divan | 268 | 124 | 4.51592350006104 | 1 h | 2 heads broccoli, cut into florets; 1/4 cup butter; 1/4 cup all-purpose flour; 3 tablespoons sherry; 2 cups chicken broth; 1/2 cup heavy cream; 1/2 teaspoon salt; 1 pinch ground black pepper; 2 cooked chicken breast halves - bones and skin removed, cut into 1/4 inch slices; 1/4 cup grated Parmesan cheese | Preheat oven to 350 degrees F (175 degrees C).; Bring a large pot of lightly salted water to a boil. Add broccoli, and cook until just tender, 3 to 4 minutes. Drain and rinse well with cold water to chill. Place drained broccoli into a 9x13 inch baking dish and set aside.; Melt butter in a saucepan over medium heat. Whisk in flour, and cook, whisking constantly, until the flour begins to turn from white, to a pale beige, about 3 minutes. Whisk in sherry, chicken broth, and heavy cream until smooth. Bring to a boil over medium-high heat, then reduce heat to medium-low and simmer for 5 minutes; season with salt and pepper.; Pour half of the hot cream sauce over the broccoli and top with chicken slices. Stir Parmesan cheese into the remaining sauce, and pour over the chicken slices. Sprinkle top with extra cheese, if desired.; Bake in preheated oven for 20 minutes or until heated through, then broil for a few minutes until top has turned golden brown. | Home; Recipes; Everyday Cooking
Grandmas Bogie's Parmesan Chicken | 373 | 125 | 4.65605115890503 | 30 m | 1/2 cup grated Parmesan cheese; 1/4 cup dry bread crumbs; 1 teaspoon dried oregano; 1 teaspoon dried parsley; 1/4 teaspoon paprika; 1/4 teaspoon salt; 1/4 teaspoon ground black pepper; 3 tablespoons margarine, melted; 6 skinless, boneless chicken breast halves | Preheat an oven to 400 degrees F (200 degrees C). Spray 9x13 inch baking pan with cooking spray.; Combine Parmesan cheese, dry bread crumbs, oregano, parsley, paprika, salt, and pepper in a shallow bowl. Dip chicken breasts into melted margarine, then coat with bread crumb mixture. Place in prepared pan.; Bake in preheated oven until chicken breasts are no longer pink in the center and the juices run clear, about 20 to 25 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). | Home; Recipes; Main Dish; Chicken; Chicken Parmesan
Barbequed Steelhead Trout | 161 | 120 | 4.63694286346436 | 20 m | 2 pounds steelhead trout fillets; 1/4 cup butter, melted; 2 tablespoons lemon juice; 1/4 teaspoon paprika; 1/8 teaspoon cayenne pepper; 1/4 cup barbeque sauce | Preheat an outdoor grill for medium heat, and lightly oil the grate.; Arrange the trout fillets on large piece of aluminum foil. Whisk together the butter, lemon juice, paprika, and cayenne pepper; brush the mixture onto the fillets.; Cook on the preheated grill until the fish flakes easily with a fork, about 10 minutes; brush the fillets with the barbeque sauce; cook another 2 minutes. | Home; Recipes; Seafood; Fish
Lobster Tails Steamed in Beer | 220 | 125 | 4.63461542129517 | 13 m | 2 whole lobster tail; 1/2 (12 fluid ounce) can beer | In a medium saucepan, over medium to high heat, bring the beer to a boil.; If lobster tails are still in the shell, split the shell lengthwise first.; Place a steamer basket on top of the saucepan. place thawed lobster tails in basket and cover. Reduce heat and simmer for 8 minutes. | Home; Recipes; Seafood; Shellfish; Lobster
Pam's Bierocks | 204 | 133 | 4.63461542129517 | 1 h 30 m | 2 cups warm water; 2 (.25 ounce) packages active dry yeast; 1/2 cup white sugar; 1/4 cup margarine, softened; 1 egg; 2 teaspoons salt; 7 cups all-purpose flour; 1 pound lean ground beef; 1 cup chopped onion; 6 cups shredded cabbage; 1 teaspoon salt; 1 teaspoon black pepper; 1/4 cup melted butter | Prepare dough: In a large bowl, dissolve yeast in warm water. Let stand until creamy, about 10 minutes. Mix in sugar, margarine, egg, salt and 1/2 of the flour. Beat until smooth; add remaining flour until dough pulls together. Place in oiled bowl. Cover with foil and refrigerate for 2 hours or overnight, OR let it rise for 1 hour.; In a large heavy skillet, brown meat. Add onion, cabbage, salt and simmer 30 minutes. Cool until lukewarm. Preheat oven to 350 degrees F (175 degrees C.) Coat a cookie sheet with non-stick spray.; Punch down dough and divide into 20 pieces. Spread each piece of dough out on an un-floured surface and fill with approximately 2 tablespoons filling. fold dough over and seal edges. Place on prepared cookie sheet and let rise for 1 hour.; Bake in the preheated oven for 25 minutes, or until golden brown. Brush with butter and serve. | Home; Recipes; Main Dish; Savory Pies; Beef Pie
Thai Spicy Basil Chicken Fried Rice | 257 | 110 | 4.60897445678711 | 40 m | 3 tablespoons oyster sauce; 2 tablespoons fish sauce; 1 teaspoon white sugar; 1/2 cup peanut oil for frying; 4 cups cooked jasmine rice, chilled; 6 large cloves garlic clove, crushed; 2 serrano peppers, crushed; 1 pound boneless, skinless chicken breast, cut into thin strips; 1 red pepper, seeded and thinly sliced; 1 onion, thinly sliced; 2 cups sweet Thai basil; 1 cucumber, sliced (optional); 1/2 cup cilantro sprigs (optional) | Whisk together the oyster sauce, fish sauce, and sugar in a bowl.; Heat the oil in a wok over medium-high heat until the oil begins to smoke. Add the garlic and serrano peppers, stirring quickly. Stir in the chicken, bell pepper, onion and oyster sauce mixture; cook until the chicken is no longer pink. Raise heat to high and stir in the chilled rice; stir quickly until the sauce is blended with the rice. Use the back of a spoon to break up any rice sticking together.; Remove from heat and mix in the basil leaves. Garnish with sliced cucumber and cilantro as desired. | Home; Recipes; Main Dish; Rice; Fried Rice
Italian Style Turkey Meatloaf | 425 | 116 | 4.62820529937744 | 1 h 5 m | cooking spray; 1 pound ground turkey; 1 egg; 1/4 cup Italian seasoned bread crumbs; 1 teaspoon Italian seasoning; 1/2 clove garlic, minced; 1/2 teaspoon ground black pepper, or to taste; 1/4 teaspoon salt, or to taste; 2 cups tomato sauce, divided | Preheat oven to 400 degrees F (200 degrees C). Prepare a baking dish with cooking spray.; Mix turkey, egg, bread crumbs, Italian seasoning, garlic, black pepper, and salt in a large bowl; shape into a loaf and put into prepared baking dish.; Bake in preheated oven for 40 minutes. Spoon about half the tomato sauce over the loaf and continue baking until the meatloaf is no longer pink in the center, 10 to 15 minutes more. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C). Rest meatloaf 5 to 10 minutes before slicing to serve.; While the meatloaf rests, warm remaining tomato sauce in a small saucepan over medium-low heat; serve with the sliced meatloaf. | Home; Recipes; World Cuisine; European; Italian
